game_id,similar_games
206420,"[221040, 215530, 102500, 220440, 242050]"
207140,"[204360, 238460, 200170, 333930, 236430]"
207170,"[201790, 102600, 245170, 41500, 3830]"
209000,"[108710, 242700, 55150, 307780, 9480]"
209080,"[211820, 248820, 42910, 212680, 241600]"
209160,"[202970, 9200, 21100, 34830, 311210]"
210770,"[252950, 204360, 236390, 630, 238460]"
211820,"[248820, 262060, 250400, 209080, 108600]"
212070,"[301520, 113400, 291480, 302830, 224600]"
212680,"[209080, 17450, 30, 300, 207170]"
213670,"[9900, 236090, 3830, 200170, 45760]"
214950,"[325610, 4780, 266840, 105450, 251060]"
215530,"[102500, 220440, 41500, 102600, 201790]"
218230,"[4920, 323470, 40100, 251060, 58610]"
218620,"[238090, 248570, 207140, 244850, 282070]"
218680,"[250900, 113200, 204360, 238460, 241600]"
219150,"[107100, 316010, 238010, 234650, 3830]"
219640,"[22600, 108600, 359320, 344760, 300]"
220200,"[244850, 313120, 108600, 9900, 22600]"
220240,"[250400, 245170, 204030, 242920, 48190]"
220440,"[239160, 246620, 215530, 17300, 34870]"
221040,"[239140, 206420, 323470, 55230, 250320]"
221100,"[248570, 102500, 251570, 9450, 212070]"
221910,"[39140, 391540, 39150, 241600, 105450]"
222880,"[33930, 33900, 251060, 113400, 30]"
223470,"[70, 50, 30, 233720, 10090]"
224260,"[265630, 99900, 200210, 104900, 248570]"
224600,"[333930, 200170, 99900, 212070, 207140]"
226840,"[65980, 289130, 204880, 244160, 40100]"
227300,"[313160, 234630, 34830, 113400, 34870]"
227940,"[248570, 265630, 359320, 209080, 346010]"
228200,"[231430, 55100, 55150, 251060, 108600]"
230410,"[265630, 239070, 224600, 47810, 200210]"
231430,"[228200, 55100, 55150, 105450, 108600]"
232090,"[1250, 238430, 17500, 16450, 21100]"
233450,"[239030, 235600, 243470, 266840, 239820]"
233720,"[10090, 259080, 200210, 223470, 39140]"
234140,"[104900, 10680, 44350, 238320, 16450]"
234630,"[44350, 311210, 298110, 313160, 234140]"
234650,"[289130, 226840, 219150, 107100, 2600]"
235460,"[311340, 239160, 34870, 246620, 105450]"
235600,"[239030, 233450, 243470, 266840, 200510]"
236090,"[3830, 201790, 102600, 207170, 107100]"
236110,"[24960, 237930, 207140, 210770, 113400]"
236390,"[346010, 210770, 251060, 250400, 228200]"
236430,"[287700, 311340, 335300, 291650, 22350]"
236850,"[203770, 48240, 251060, 58610, 265930]"
237930,"[238090, 205100, 236110, 238010, 201810]"
238010,"[219150, 107100, 234650, 3830, 237930]"
238090,"[287390, 201810, 237930, 286690, 9200]"
238320,"[10680, 104900, 16450, 234140, 286690]"
238430,"[232090, 1250, 239140, 17500, 221040]"
238460,"[204360, 207140, 218680, 210770, 245170]"
238960,"[39120, 248820, 39150, 239070, 262060]"
239030,"[233450, 235600, 243470, 266840, 22300]"
239070,"[105600, 238960, 223470, 200210, 248820]"
239140,"[221040, 238430, 323470, 243470, 4500]"
239160,"[246620, 34870, 220440, 34830, 57900]"
239820,"[298630, 359320, 233450, 234140, 265930]"
241600,"[391540, 221910, 39140, 316010, 218680]"
242050,"[7940, 22300, 57900, 201810, 286690]"
242700,"[209000, 108710, 24740, 55150, 204100]"
242720,"[109600, 386360, 291550, 200210, 39120]"
242760,"[251570, 17470, 344760, 238320, 313120]"
242920,"[255710, 251060, 58610, 244160, 313120]"
243470,"[239030, 233450, 235600, 235460, 391540]"
244160,"[204880, 40100, 65980, 58610, 226840]"
244850,"[220200, 313120, 108600, 9900, 22600]"
245170,"[201790, 102600, 207170, 41500, 236090]"
245620,"[57690, 48240, 2600, 17450, 226840]"
246620,"[239160, 34870, 220440, 34830, 2600]"
248570,"[304050, 291550, 292030, 227940, 4000]"
248820,"[262060, 211820, 238960, 209080, 250400]"
250320,"[110800, 45760, 48190, 17410, 221040]"
250400,"[7940, 211820, 22300, 248820, 242050]"
250900,"[113200, 218680, 17500, 262060, 241600]"
251060,"[58610, 244160, 40100, 204880, 65980]"
251570,"[242760, 17470, 313120, 344760, 292030]"
252490,"[344760, 212070, 207140, 238430, 265630]"
252950,"[210770, 242720, 311210, 291550, 113400]"
255710,"[242920, 262060, 346010, 282070, 313120]"
259080,"[10090, 233720, 200210, 223470, 265630]"
261640,"[49520, 200170, 212070, 205100, 377160]"
262060,"[248820, 250900, 113200, 211820, 282070]"
265630,"[224260, 200210, 99900, 113400, 230410]"
265930,"[4000, 298630, 359320, 391540, 39140]"
266840,"[204880, 244160, 65980, 289130, 40100]"
271590,"[298110, 238090, 234630, 311210, 243470]"
273110,"[291550, 12220, 236090, 16450, 22600]"
282070,"[298630, 262060, 245620, 57690, 48240]"
286690,"[287390, 201810, 238090, 242050, 238320]"
287390,"[286690, 201810, 238090, 242050, 238010]"
287700,"[236430, 311340, 335300, 291650, 22350]"
289130,"[226840, 65980, 204880, 244160, 40100]"
291480,"[302830, 389570, 113400, 212070, 265630]"
291550,"[304050, 273110, 242720, 248570, 39120]"
291650,"[335300, 236430, 311340, 287700, 292030]"
292030,"[291650, 234650, 4780, 251570, 248570]"
298110,"[234630, 311210, 44350, 9200, 41070]"
298630,"[239820, 282070, 7940, 265930, 223470]"
301520,"[212070, 346010, 307780, 113400, 34830]"
302830,"[291480, 389570, 113400, 212070, 265630]"
304050,"[248570, 291550, 389570, 236090, 323470]"
304930,"[250400, 99900, 265930, 389570, 104900]"
307780,"[20920, 67370, 242700, 45760, 108710]"
311210,"[44350, 234630, 298110, 209160, 202970]"
311340,"[287700, 236430, 335300, 291650, 235460]"
313120,"[220200, 244850, 344760, 251570, 107410]"
313160,"[227300, 234630, 113400, 34830, 311210]"
316010,"[219150, 107100, 241600, 238010, 234650]"
323470,"[218230, 4920, 239140, 221040, 250900]"
325610,"[214950, 4780, 105450, 251060, 266840]"
333930,"[224600, 200170, 99900, 207140, 212070]"
335300,"[287700, 236430, 311340, 291650, 22350]"
344760,"[107410, 386360, 313120, 109600, 242720]"
346010,"[311340, 287700, 335300, 236430, 301520]"
346110,"[323470, 313120, 242920, 34870, 251570]"
346900,"[363970, 389570, 200210, 265930, 346010]"
359320,"[239820, 108600, 22350, 335300, 265930]"
363970,"[346900, 389570, 200210, 265930, 55100]"
377160,"[298110, 234630, 239070, 55100, 9200]"
386360,"[109600, 242720, 344760, 291550, 39120]"
389570,"[302830, 291480, 113400, 363970, 346900]"
391540,"[221910, 39140, 39150, 241600, 105450]"
