game_id,similar_games
41000,"[41070, 67370, 45700, 201870, 242860]"
41070,"[55100, 307780, 201870, 67370, 99900]"
41500,"[200710, 500, 215080, 17450, 201790]"
41700,"[4500, 6910, 268420, 242860, 256290]"
41800,"[91200, 97000, 226840, 289130, 203630]"
42700,"[10180, 334230, 17450, 22300, 208520]"
42910,"[209080, 63710, 108710, 202750, 236430]"
42960,"[203770, 236850, 25890, 208520, 212500]"
44350,"[8600, 211500, 255220, 333930, 241560]"
45700,"[6910, 268420, 242860, 251990, 256290]"
45740,"[223710, 242700, 204100, 4580, 242050]"
45760,"[204100, 50300, 97330, 254700, 21100]"
47410,"[109600, 244160, 58610, 204880, 222750]"
47780,"[9340, 6910, 17470, 41700, 39680]"
47810,"[17460, 24980, 204030, 215080, 41800]"
47870,"[41700, 316790, 6030, 380600, 291550]"
48000,"[300, 8500, 94400, 92800, 207690]"
48190,"[205650, 220160, 232430, 35130, 219890]"
48240,"[245620, 57690, 11450, 40300, 3720]"
48700,"[204030, 22100, 4770, 302510, 298240]"
49470,"[289130, 226840, 228260, 203630, 107200]"
49520,"[307690, 212070, 45700, 247000, 24740]"
49600,"[17410, 63710, 253030, 26800, 220160]"
50130,"[9480, 202200, 45760, 204100, 215470]"
50300,"[45760, 204100, 21100, 202750, 108710]"
55100,"[41070, 307780, 201870, 67370, 99900]"
55110,"[107100, 97000, 41800, 91200, 222880]"
55150,"[20570, 233450, 98200, 39120, 313120]"
55230,"[208500, 94400, 334230, 9480, 235600]"
57300,"[239200, 282140, 339800, 17470, 92800]"
57690,"[245620, 48240, 11450, 40300, 32430]"
57900,"[247000, 21100, 9200, 11450, 267530]"
58520,"[239820, 332310, 270850, 22000, 207690]"
58610,"[244160, 222750, 251060, 204880, 244850]"
63200,"[63710, 65800, 55100, 41070, 307780]"
63710,"[209080, 26800, 22600, 63200, 49600]"
64000,"[325610, 232890, 251060, 231430, 244450]"
65800,"[221640, 63200, 63710, 98800, 41800]"
65930,"[115100, 12810, 235540, 225080, 208650]"
65980,"[289130, 228260, 226840, 91200, 8930]"
67370,"[55100, 41070, 201870, 307780, 21100]"
70000,"[238430, 236090, 210770, 17500, 286160]"
70300,"[294860, 9350, 226720, 40950, 91700]"
70400,"[236090, 238430, 224480, 391540, 70000]"
72850,"[267530, 249130, 334230, 304030, 40970]"
91200,"[226840, 97000, 203630, 228260, 289130]"
91600,"[226720, 40950, 6030, 9350, 6000]"
91700,"[253980, 294860, 6000, 9350, 226720]"
92800,"[239200, 4920, 206440, 282140, 57300]"
94400,"[200900, 230050, 113200, 250900, 241600]"
97000,"[91200, 226840, 289130, 203630, 228260]"
97330,"[45760, 204100, 49470, 40300, 50300]"
98200,"[233450, 206480, 39120, 9880, 313120]"
98800,"[391540, 339800, 239030, 70400, 247080]"
99900,"[55100, 41070, 307780, 201870, 222480]"
102500,"[220440, 215530, 234080, 4570, 235460]"
102600,"[252410, 215080, 269210, 241600, 245170]"
104900,"[215470, 233270, 232890, 218640, 227100]"
105450,"[4580, 290080, 391460, 272510, 344760]"
105600,"[239070, 42910, 216150, 94400, 248820]"
107100,"[55110, 220700, 219890, 3830, 91600]"
107200,"[289130, 226840, 203630, 228260, 49470]"
107410,"[244450, 344760, 285310, 1200, 289950]"
108600,"[58610, 244160, 251060, 222750, 244850]"
108710,"[202750, 258520, 310560, 238090, 35130]"
